"","date","births","dayofyear","wday"
"1",2015-01-01,8068,1,"Thurs"
"2",2015-01-02,10850,2,"Fri"
"3",2015-01-03,8328,3,"Sat"
"4",2015-01-04,7065,4,"Sun"
"5",2015-01-05,11892,5,"Mon"
"6",2015-01-06,12425,6,"Tues"
"7",2015-01-07,12141,7,"Wed"
"8",2015-01-08,12094,8,"Thurs"
"9",2015-01-09,11868,9,"Fri"
"10",2015-01-10,8014,10,"Sat"
"11",2015-01-11,7172,11,"Sun"
"12",2015-01-12,11479,12,"Mon"
"13",2015-01-13,11924,13,"Tues"
"14",2015-01-14,12013,14,"Wed"
"15",2015-01-15,12339,15,"Thurs"
"16",2015-01-16,11861,16,"Fri"
"17",2015-01-17,8280,17,"Sat"
"18",2015-01-18,7195,18,"Sun"
"19",2015-01-19,10602,19,"Mon"
"20",2015-01-20,12242,20,"Tues"
"21",2015-01-21,12086,21,"Wed"
"22",2015-01-22,11949,22,"Thurs"
"23",2015-01-23,11910,23,"Fri"
"24",2015-01-24,8235,24,"Sat"
"25",2015-01-25,7186,25,"Sun"
"26",2015-01-26,11728,26,"Mon"
"27",2015-01-27,11882,27,"Tues"
"28",2015-01-28,11602,28,"Wed"
"29",2015-01-29,11967,29,"Thurs"
"30",2015-01-30,11571,30,"Fri"
"31",2015-01-31,7987,31,"Sat"
"32",2015-02-01,7139,32,"Sun"
"33",2015-02-02,11480,33,"Mon"
"34",2015-02-03,12079,34,"Tues"
"35",2015-02-04,11924,35,"Wed"
"36",2015-02-05,11821,36,"Thurs"
"37",2015-02-06,11656,37,"Fri"
"38",2015-02-07,8285,38,"Sat"
"39",2015-02-08,7265,39,"Sun"
"40",2015-02-09,11937,40,"Mon"
"41",2015-02-10,12291,41,"Tues"
"42",2015-02-11,11911,42,"Wed"
"43",2015-02-12,12285,43,"Thurs"
"44",2015-02-13,11321,44,"Fri"
"45",2015-02-14,8390,45,"Sat"
"46",2015-02-15,7508,46,"Sun"
"47",2015-02-16,11038,47,"Mon"
"48",2015-02-17,11952,48,"Tues"
"49",2015-02-18,12061,49,"Wed"
"50",2015-02-19,11968,50,"Thurs"
"51",2015-02-20,11864,51,"Fri"
"52",2015-02-21,8343,52,"Sat"
"53",2015-02-22,7254,53,"Sun"
"54",2015-02-23,11260,54,"Mon"
"55",2015-02-24,11941,55,"Tues"
"56",2015-02-25,11828,56,"Wed"
"57",2015-02-26,11672,57,"Thurs"
"58",2015-02-27,11596,58,"Fri"
"59",2015-02-28,7989,59,"Sat"
"60",2015-03-01,7273,60,"Sun"
"61",2015-03-02,11609,61,"Mon"
"62",2015-03-03,12402,62,"Tues"
"63",2015-03-04,11927,63,"Wed"
"64",2015-03-05,11681,64,"Thurs"
"65",2015-03-06,11612,65,"Fri"
"66",2015-03-07,7980,66,"Sat"
"67",2015-03-08,6929,67,"Sun"
"68",2015-03-09,11678,68,"Mon"
"69",2015-03-10,12282,69,"Tues"
"70",2015-03-11,11850,70,"Wed"
"71",2015-03-12,12042,71,"Thurs"
"72",2015-03-13,10940,72,"Fri"
"73",2015-03-14,8217,73,"Sat"
"74",2015-03-15,7202,74,"Sun"
"75",2015-03-16,11537,75,"Mon"
"76",2015-03-17,12312,76,"Tues"
"77",2015-03-18,11807,77,"Wed"
"78",2015-03-19,11721,78,"Thurs"
"79",2015-03-20,12040,79,"Fri"
"80",2015-03-21,8080,80,"Sat"
"81",2015-03-22,7171,81,"Sun"
"82",2015-03-23,11674,82,"Mon"
"83",2015-03-24,12333,83,"Tues"
"84",2015-03-25,11872,84,"Wed"
"85",2015-03-26,12065,85,"Thurs"
"86",2015-03-27,11629,86,"Fri"
"87",2015-03-28,8071,87,"Sat"
"88",2015-03-29,7125,88,"Sun"
"89",2015-03-30,11500,89,"Mon"
"90",2015-03-31,12362,90,"Tues"
"91",2015-04-01,11596,91,"Wed"
"92",2015-04-02,12296,92,"Thurs"
"93",2015-04-03,11234,93,"Fri"
"94",2015-04-04,7981,94,"Sat"
"95",2015-04-05,6821,95,"Sun"
"96",2015-04-06,11455,96,"Mon"
"97",2015-04-07,12334,97,"Tues"
"98",2015-04-08,11976,98,"Wed"
"99",2015-04-09,11874,99,"Thurs"
"100",2015-04-10,11724,100,"Fri"
"101",2015-04-11,8092,101,"Sat"
"102",2015-04-12,7141,102,"Sun"
"103",2015-04-13,11503,103,"Mon"
"104",2015-04-14,12309,104,"Tues"
"105",2015-04-15,11794,105,"Wed"
"106",2015-04-16,11947,106,"Thurs"
"107",2015-04-17,11718,107,"Fri"
"108",2015-04-18,8028,108,"Sat"
"109",2015-04-19,7180,109,"Sun"
"110",2015-04-20,11513,110,"Mon"
"111",2015-04-21,12173,111,"Tues"
"112",2015-04-22,11917,112,"Wed"
"113",2015-04-23,11877,113,"Thurs"
"114",2015-04-24,11749,114,"Fri"
"115",2015-04-25,8101,115,"Sat"
"116",2015-04-26,7178,116,"Sun"
"117",2015-04-27,11494,117,"Mon"
"118",2015-04-28,12221,118,"Tues"
"119",2015-04-29,11775,119,"Wed"
"120",2015-04-30,11831,120,"Thurs"
"121",2015-05-01,12178,121,"Fri"
"122",2015-05-02,8075,122,"Sat"
"123",2015-05-03,7195,123,"Sun"
"124",2015-05-04,11724,124,"Mon"
"125",2015-05-05,12618,125,"Tues"
"126",2015-05-06,11924,126,"Wed"
"127",2015-05-07,11649,127,"Thurs"
"128",2015-05-08,11810,128,"Fri"
"129",2015-05-09,8216,129,"Sat"
"130",2015-05-10,7246,130,"Sun"
"131",2015-05-11,11549,131,"Mon"
"132",2015-05-12,12400,132,"Tues"
"133",2015-05-13,11572,133,"Wed"
"134",2015-05-14,11793,134,"Thurs"
"135",2015-05-15,12306,135,"Fri"
"136",2015-05-16,8337,136,"Sat"
"137",2015-05-17,7354,137,"Sun"
"138",2015-05-18,11708,138,"Mon"
"139",2015-05-19,12469,139,"Tues"
"140",2015-05-20,12352,140,"Wed"
"141",2015-05-21,12246,141,"Thurs"
"142",2015-05-22,12147,142,"Fri"
"143",2015-05-23,8267,143,"Sat"
"144",2015-05-24,7261,144,"Sun"
"145",2015-05-25,7746,145,"Mon"
"146",2015-05-26,12242,146,"Tues"
"147",2015-05-27,12845,147,"Wed"
"148",2015-05-28,12722,148,"Thurs"
"149",2015-05-29,12168,149,"Fri"
"150",2015-05-30,8431,150,"Sat"
"151",2015-05-31,7367,151,"Sun"
"152",2015-06-01,11793,152,"Mon"
"153",2015-06-02,11994,153,"Tues"
"154",2015-06-03,11890,154,"Wed"
"155",2015-06-04,11918,155,"Thurs"
"156",2015-06-05,12303,156,"Fri"
"157",2015-06-06,8313,157,"Sat"
"158",2015-06-07,7230,158,"Sun"
"159",2015-06-08,11938,159,"Mon"
"160",2015-06-09,12479,160,"Tues"
"161",2015-06-10,12123,161,"Wed"
"162",2015-06-11,12029,162,"Thurs"
"163",2015-06-12,12064,163,"Fri"
"164",2015-06-13,8104,164,"Sat"
"165",2015-06-14,7292,165,"Sun"
"166",2015-06-15,12348,166,"Mon"
"167",2015-06-16,12400,167,"Tues"
"168",2015-06-17,12192,168,"Wed"
"169",2015-06-18,12323,169,"Thurs"
"170",2015-06-19,11767,170,"Fri"
"171",2015-06-20,8451,171,"Sat"
"172",2015-06-21,7580,172,"Sun"
"173",2015-06-22,11883,173,"Mon"
"174",2015-06-23,12351,174,"Tues"
"175",2015-06-24,12292,175,"Wed"
"176",2015-06-25,12416,176,"Thurs"
"177",2015-06-26,12152,177,"Fri"
"178",2015-06-27,8652,178,"Sat"
"179",2015-06-28,7371,179,"Sun"
"180",2015-06-29,11961,180,"Mon"
"181",2015-06-30,12932,181,"Tues"
"182",2015-07-01,13033,182,"Wed"
"183",2015-07-02,13038,183,"Thurs"
"184",2015-07-03,10375,184,"Fri"
"185",2015-07-04,7944,185,"Sat"
"186",2015-07-05,7164,186,"Sun"
"187",2015-07-06,12088,187,"Mon"
"188",2015-07-07,13426,188,"Tues"
"189",2015-07-08,12788,189,"Wed"
"190",2015-07-09,12517,190,"Thurs"
"191",2015-07-10,12396,191,"Fri"
"192",2015-07-11,8769,192,"Sat"
"193",2015-07-12,7591,193,"Sun"
"194",2015-07-13,11835,194,"Mon"
"195",2015-07-14,12862,195,"Tues"
"196",2015-07-15,12853,196,"Wed"
"197",2015-07-16,12502,197,"Thurs"
"198",2015-07-17,12291,198,"Fri"
"199",2015-07-18,8546,199,"Sat"
"200",2015-07-19,7681,200,"Sun"
"201",2015-07-20,12424,201,"Mon"
"202",2015-07-21,13264,202,"Tues"
"203",2015-07-22,12519,203,"Wed"
"204",2015-07-23,12852,204,"Thurs"
"205",2015-07-24,12612,205,"Fri"
"206",2015-07-25,8748,206,"Sat"
"207",2015-07-26,7836,207,"Sun"
"208",2015-07-27,12416,208,"Mon"
"209",2015-07-28,13240,209,"Tues"
"210",2015-07-29,12739,210,"Wed"
"211",2015-07-30,12797,211,"Thurs"
"212",2015-07-31,12269,212,"Fri"
"213",2015-08-01,8851,213,"Sat"
"214",2015-08-02,7907,214,"Sun"
"215",2015-08-03,12449,215,"Mon"
"216",2015-08-04,13149,216,"Tues"
"217",2015-08-05,12793,217,"Wed"
"218",2015-08-06,12872,218,"Thurs"
"219",2015-08-07,12770,219,"Fri"
"220",2015-08-08,8956,220,"Sat"
"221",2015-08-09,7726,221,"Sun"
"222",2015-08-10,12333,222,"Mon"
"223",2015-08-11,13010,223,"Tues"
"224",2015-08-12,12960,224,"Wed"
"225",2015-08-13,12591,225,"Thurs"
"226",2015-08-14,12861,226,"Fri"
"227",2015-08-15,8938,227,"Sat"
"228",2015-08-16,7896,228,"Sun"
"229",2015-08-17,12337,229,"Mon"
"230",2015-08-18,13197,230,"Tues"
"231",2015-08-19,12966,231,"Wed"
"232",2015-08-20,13002,232,"Thurs"
"233",2015-08-21,12834,233,"Fri"
"234",2015-08-22,9153,234,"Sat"
"235",2015-08-23,7821,235,"Sun"
"236",2015-08-24,12274,236,"Mon"
"237",2015-08-25,13149,237,"Tues"
"238",2015-08-26,12729,238,"Wed"
"239",2015-08-27,12829,239,"Thurs"
"240",2015-08-28,12719,240,"Fri"
"241",2015-08-29,8772,241,"Sat"
"242",2015-08-30,7805,242,"Sun"
"243",2015-08-31,12142,243,"Mon"
"244",2015-09-01,13231,244,"Tues"
"245",2015-09-02,12799,245,"Wed"
"246",2015-09-03,12839,246,"Thurs"
"247",2015-09-04,12862,247,"Fri"
"248",2015-09-05,8950,248,"Sat"
"249",2015-09-06,7778,249,"Sun"
"250",2015-09-07,8127,250,"Mon"
"251",2015-09-08,12823,251,"Tues"
"252",2015-09-09,13949,252,"Wed"
"253",2015-09-10,13925,253,"Thurs"
"254",2015-09-11,12295,254,"Fri"
"255",2015-09-12,9062,255,"Sat"
"256",2015-09-13,7900,256,"Sun"
"257",2015-09-14,12699,257,"Mon"
"258",2015-09-15,13439,258,"Tues"
"259",2015-09-16,13136,259,"Wed"
"260",2015-09-17,13319,260,"Thurs"
"261",2015-09-18,13229,261,"Fri"
"262",2015-09-19,9195,262,"Sat"
"263",2015-09-20,8078,263,"Sun"
"264",2015-09-21,12567,264,"Mon"
"265",2015-09-22,13047,265,"Tues"
"266",2015-09-23,12595,266,"Wed"
"267",2015-09-24,12942,267,"Thurs"
"268",2015-09-25,12792,268,"Fri"
"269",2015-09-26,8927,269,"Sat"
"270",2015-09-27,7778,270,"Sun"
"271",2015-09-28,12158,271,"Mon"
"272",2015-09-29,12791,272,"Tues"
"273",2015-09-30,12284,273,"Wed"
"274",2015-10-01,13043,274,"Thurs"
"275",2015-10-02,12399,275,"Fri"
"276",2015-10-03,8579,276,"Sat"
"277",2015-10-04,7530,277,"Sun"
"278",2015-10-05,12166,278,"Mon"
"279",2015-10-06,12520,279,"Tues"
"280",2015-10-07,12429,280,"Wed"
"281",2015-10-08,12458,281,"Thurs"
"282",2015-10-09,12282,282,"Fri"
"283",2015-10-10,8550,283,"Sat"
"284",2015-10-11,7571,284,"Sun"
"285",2015-10-12,11633,285,"Mon"
"286",2015-10-13,12094,286,"Tues"
"287",2015-10-14,12205,287,"Wed"
"288",2015-10-15,12522,288,"Thurs"
"289",2015-10-16,11917,289,"Fri"
"290",2015-10-17,8233,290,"Sat"
"291",2015-10-18,7211,291,"Sun"
"292",2015-10-19,11388,292,"Mon"
"293",2015-10-20,12500,293,"Tues"
"294",2015-10-21,12093,294,"Wed"
"295",2015-10-22,12013,295,"Thurs"
"296",2015-10-23,11942,296,"Fri"
"297",2015-10-24,8239,297,"Sat"
"298",2015-10-25,7288,298,"Sun"
"299",2015-10-26,11923,299,"Mon"
"300",2015-10-27,12485,300,"Tues"
"301",2015-10-28,12266,301,"Wed"
"302",2015-10-29,11950,302,"Thurs"
"303",2015-10-30,11529,303,"Fri"
